"unitid","institution name","year","DRVEF122022_RV.Total 12-month unduplicated headcount","SAL2022_NIS.Full-time non-instructional staff - number","DRVOM2022_RV.Percent full-time first-time receiving an award - 4 years","DRVOM2022_RV.Percent full-time first-time receiving an award - 6 years","DRVOM2022_RV.Percent full-time first-time receiving an award - 8 years","DRVOM2022_RV.Percent part-time first-time receiving an award - 4 years","DRVOM2022_RV.Percent part-time first-time receiving an award - 6 years","DRVOM2022_RV.Percent part-time first-time receiving an award - 8 years"
"234173","Virginia Wesleyan University","2022","1577","120","45","49","50",,,
"235422","Heritage University","2022","1037","114","20","38","42","0","50","50"
"237136","Appalachian Bible College","2022","261","29","37","43","43","0","0","0"
"237181","Bethany College","2022","574","98","35","43","43",,,
"238476","Carthage College","2022","2871","237","54","62","62","0","0","33"
"238980","Lakeland University","2022","3075","167","39","48","48","38","38","38"
"239080","Marian University","2022","1832","151","37","46","47","7","52","55"
"239318","Milwaukee School of Engineering","2022","2835","260","48","69","70","7","37","37"
"239628","Ripon College","2022","825","113","59","67","67",,,
"239716","Saint Norbert College","2022","2076","386","69","72","72",,,
"240338","Wisconsin Lutheran College","2022","1285","95","52","65","65",,,
"245652","St. John's College","2022","574","105","49","68","68",,,
"245953","Mid-America Christian University","2022","2706","137","19","47","49","23","33","35"
"363712","Yeshivah Gedolah Rabbinical College","2022","52",,"4","8","13",,,
"367884","Hodges University","2022","776","64","15","17","18","11","14","17"
"385619","Everglades University","2022","3015","194","47","52","59",,,
"399911","Soka University of America","2022","450","146","80","87","87",,,
"426314","Embry-Riddle Aeronautical University-Worldwide","2022","18431","302","19","28","32","8","17","22"
"433387","Western Governors University","2022","214229","3507","32","47","52",,,
"433536","Herzing University-New Orleans","2022","652","9","33","34","34","19","22","25"
"440794","Pillar College","2022","668","49","22","32","33","100","100","100"
"443340","Williamson Christian College","2022","75","4","57","57","57",,,
"444398","Baptist University of the Americas","2022","136","17","7","29","32","0","8","8"
"445267","Central Methodist University-College of Graduate and Extended Studies","2022","4465","37",,,,,,
