UnitID,Institution Name,Total expenses-Total amount (F2122_F2),Total expenses-Total amount (F2021_F2),Total expenses-Total amount (F1920_F2),Total expenses-Total amount (F1819_F2),
440794,Pillar College,10339818,8887092,9187722,8715869,
138868,Point University,26369456,26097931,27646915,27584904,
456481,Polytechnic University of Puerto Rico-Miami,919678,1269628,1340951,1293505,
456490,Polytechnic University of Puerto Rico-Orlando,3189688,3570302,4011301,4043447,
205027,Pontifical College Josephinum,7481179,7127398,7989487,8540660,
194578,Pratt Institute-Main,215691015,184028820,212491153,207307481,
217402,Providence College,239269198,213531678,212353394,214505761,
199412,Queens University of Charlotte,69229146,56932418,65372698,64677744,
148131,Quincy University,29555122,26224133,25838068,24836201,
194666,Rabbinical College Bobover Yeshiva Bnei Zion,6342448,5073587,4102890,3566367,
186186,Rabbinical College of America,8292984,7240894,5627991,5378143,
207157,Randall University,4085815,3838146,4732374,4669265,
233301,Randolph College,31253447,28912976,30882125,31489471,
233295,Randolph-Macon College,57678278,54206267,55766640,55376971,
497480,Reach University,3964009,,,,
209922,Reed College,109606840,102977824,102606510,98903244,
490230,Reformed University,889264,1095907,788406,741935,
140872,Reinhardt University,31460804,33137551,32820363,32730270,
217493,Rhode Island School of Design,170433911,153277565,159273773,157281323,
221351,Rhodes College,91698531,79910505,88367055,86965030,
239628,Ripon College,29825286,27198957,29237653,32563820,
233426,Roanoke College,70943790,58715359,66211855,65448479,
170967,Rochester University,16936928,14611827,13893527,13832369,
148405,Rockford University,28717953,26740729,25808160,25662324,
217518,Roger Williams University,153591369,149046927,145107896,156267157,
152318,Rose-Hulman Institute of Technology,100541305,94134652,95364284,101021377,
215691,Rosemont College,20225451,20116318,19849956,19369903,
172033,Sacred Heart Major Seminary,8554266,8425476,8372325,9724538,
183239,Saint Anselm College,84707883,78203344,82287496,81238363,
199582,Saint Augustine's University,36645347,26352860,26627830,30985194,
216047,Saint Charles Borromeo Seminary-Overbrook,11403570,10880714,10893656,12318891,
174792,Saint Johns University,74184973,66257188,72602730,75385564,
161518,Saint Joseph's College of Maine,34400833,33422590,34399013,36740594,
231059,Saint Michael's College,66341981,63441736,69089463,75945404,
239716,Saint Norbert College,80703555,69339479,72806187,74512765,
148627,Saint Xavier University,67477801,63392877,59815431,61647864,
199607,Salem College,21705549,17490850,20614261,24163085,
112084,San Diego Christian College,11350971,14387472,14209553,13780631,
122506,San Francisco Conservatory of Music,51408000,36179000,29998000,28158000,
195304,Sarah Lawrence College,83672839,71096129,81285359,84807805,
140951,Savannah College of Art and Design,368622838,301385118,332672409,334848914,
143048,School of the Art Institute of Chicago,137136084,126290748,145817319,147869394,
228042,Schreiner University,39110363,34328372,35681293,36926775,
195438,Sh'or Yoshuv Rabbinical College,6687289,6009572,5103749,4537868,
123280,Shasta Bible College and Graduate School,857339,935406,750700,861899,
199643,Shaw University,41336381,39557781,37330499,37647979,
140988,Shorter University,24936173,22207657,23202863,24705998,
195474,Siena College,114295004,101789295,99346328,103677322,
172264,Siena Heights University,44542529,36759814,37500983,36799916,
461759,Simmons College of Kentucky,9208634,4497893,4174686,3886886,
154350,Simpson College,41072815,38461464,37685829,39003023,
123457,Simpson University,26755685,22641411,21891224,21171735,
399911,Soka University of America,65623000,57966000,61658000,58919000,
123952,Southern California Institute of Architecture,24893000,21973000,22772000,21799000,
228468,Southwestern Adventist University,22167529,18518620,18478422,18265283,
207856,Southwestern Christian University,7446099,7189384,7272334,8131948,
102234,Spring Hill College,41403420,40043902,38976023,39912942,
195164,St Bonaventure University,71680673,62372569,62205637,57647240,
195216,St Lawrence University,131592460,118780637,126675249,129596095,
199698,St. Andrews University,24745764,22736404,19587014,18052913,
195173,St. Francis College,82440336,69877180,58858017,56553599,
137272,St. John Vianney College Seminary,2116763,3023946,2886385,3632767,
163976,St. John's College,27881612,26459623,27015297,27522724,
245652,St. John's College,24995884,20904855,23678182,22714947,
195544,St. Joseph's University-New York,89767000,86654000,89182000,19907000,
195243,St. Thomas Aquinas College,39788352,36685696,33383420,33127055,
